ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
02,ALASKA,AK,02290,Yukon-Koyukuk,02290000400,"Census Tract 4, Yukon-Koyukuk Census Area, Alaska",31588.894503575357,978,68,812,22,356,25,267,51,80,19,19622,1949,75,14,98,29,268,31,139,22,61,15,834,75,2,35,2,9,2,3,51,15,211,23,18,9,27.4,5.1,17.8,3.8,19622.0,1949.0,12.6,2.2,10.0,2.8,27.4,2.5,14.2,2.4,17.1,4.2,85.3,4.9,0.2,3.9,0.2,1.2,0.2,0.4,14.3,4.2,59.3,5.0,1.8,0.9,0.9518,0.9398,0.9636,0.8434,3.6986,0.9455,0.4157,0.7229,0.6627,0.8855,2.6868,0.8916,0.9277,0.2289,1.1566,0.5964,0.1928,0.1636,0.9036,0.9515,0.5904,2.8019,0.5939,10.3439,0.872,1,1,1,0,3,0,0,0,0,0,1,0,1,0,0,1,1,0,2,6,316,42,32.4,3.7,938
02,ALASKA,AK,02020,Anchorage,02020001900,"Census Tract 19, Anchorage Municipality, Alaska",1.731230016434,3584,392,1866,63,1496,125,436,174,154,73,28146,2684,358,123,380,116,532,178,663,202,150,80,2366,436,256,114,662,143,127,65,105,57,199,81,91,22,12.2,4.5,6.5,3.0,28146.0,2684.0,14.6,4.8,10.6,3.0,14.8,4.7,18.7,5.3,10.0,5.3,66.0,9.8,7.6,3.3,35.5,7.6,6.8,3.5,7.0,3.8,13.3,5.4,2.5,0.5,0.6386,0.4518,0.7576,0.9277,2.7757,0.7818,0.4578,0.0663,0.8976,0.5964,2.0181,0.506,0.8373,0.9639,1.8012,0.9699,0.9578,0.7697,0.6867,0.7455,0.6325,3.7922,0.9515,10.3872,0.878,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,3,764,208,21.5,5.1,25480
02,ALASKA,AK,02185,North Slope,02185000100,"Census Tract 1, North Slope Borough, Alaska",97.815036664372,4452,142,1701,102,1345,114,454,175,317,85,30876,5790,322,72,342,52,1574,225,478,83,169,52,4009,476,69,52,249,61,6,8,389,91,337,74,120,71,10.4,4.0,15.1,4.6,30876.0,5790.0,13.1,3.5,7.7,1.2,35.4,4.9,10.9,1.8,12.6,3.8,90.0,10.3,1.7,1.3,14.6,3.5,0.4,0.5,28.9,6.3,25.1,4.9,2.7,1.6,0.5361,0.9036,0.6848,0.8675,2.992,0.8424,0.1747,0.9639,0.3554,0.7771,2.2711,0.7048,0.9699,0.6928,1.6627,0.8976,0.8193,0.1818,0.9578,0.8848,0.6446,3.4883,0.9273,10.4141,0.8841,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,4,1066,239,24.2,5.3,5257
02,ALASKA,AK,02020,Anchorage,02020002000,"Census Tract 20, Anchorage Municipality, Alaska",0.515404857086,3364,427,1596,87,1444,105,720,285,165,111,24212,3857,409,149,428,186,593,243,772,227,101,66,1610,594,79,69,269,104,283,101,142,81,154,69,6,6,21.7,8.9,9.2,6.0,24212.0,3857.0,17.5,5.2,12.7,5.0,17.6,6.9,23.1,5.7,7.0,4.6,47.9,16.6,2.4,2.1,16.9,6.5,17.7,6.2,9.8,5.6,10.7,4.6,0.2,0.2,0.9096,0.6867,0.8667,0.9518,3.4148,0.9091,0.6506,0.1265,0.9759,0.3434,2.0964,0.5602,0.6867,0.7831,1.4698,0.7892,0.8614,0.9576,0.8253,0.6909,0.1265,3.4617,0.9091,10.4427,0.8902,1,0,0,1,2,0,0,1,0,1,0,0,0,0,1,0,0,0,1,4,569,222,17.0,6.3,3392
02,ALASKA,AK,02050,Bethel,02050000200,"Census Tract 2, Bethel Census Area, Alaska",218.724872181202,6424,19,2465,113,1946,106,806,265,294,97,31928,2450,348,94,431,83,2033,171,455,109,333,91,5014,183,138,85,216,62,180,55,445,101,471,95,433,185,13.3,4.4,9.0,2.9,31928.0,2450.0,9.4,2.5,6.7,1.3,31.6,2.7,7.4,1.8,17.1,4.6,78.1,2.8,2.3,1.4,8.8,2.5,7.3,2.2,22.9,5.1,24.2,4.6,6.7,2.9,0.6687,0.6687,0.6,0.6627,2.6001,0.7091,0.1145,0.9157,0.1325,0.8855,2.0482,0.5181,0.8976,0.7651,1.6627,0.8976,0.7349,0.7939,0.9458,0.8667,0.8012,4.1425,0.9939,10.4535,0.8963,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,2,1077,271,17.5,4.4,8442
02,ALASKA,AK,02185,North Slope,02185000200,"Census Tract 2, North Slope Borough, Alaska",85554.34373844192,2503,606,882,156,621,154,417,127,222,93,24761,3286,281,86,153,57,966,225,290,86,143,36,2228,622,14,33,0,12,9,10,236,58,414,103,186,96,16.8,4.6,20.7,6.5,24761.0,3286.0,21.7,4.7,6.1,1.5,38.6,13.0,11.6,1.9,23.0,1.5,89.0,12.4,0.6,1.5,0.0,1.4,1.0,1.2,38.0,13.3,66.7,3.9,7.4,3.4,0.8193,0.9578,0.8545,0.9819,3.6135,0.9333,0.0663,0.9759,0.4157,0.9819,2.4398,0.8012,0.9578,0.4578,1.4156,0.7651,0.0,0.2848,0.9759,0.9697,0.8133,3.0437,0.703,10.5126,0.9024,0,1,0,1,2,0,1,0,1,2,1,0,1,0,0,1,1,0,2,7,724,196,29.0,2.7,5703
02,ALASKA,AK,02090,Fairbanks North Star,02090000300,"Census Tract 3, Fairbanks North Star Borough, Alaska",1.278691059192,4329,505,2066,117,1572,157,915,330,271,128,23823,3404,332,148,320,117,1074,281,682,166,367,150,2371,581,92,80,205,107,0,9,221,108,156,93,185,70,21.6,7.0,12.9,5.6,23823.0,3404.0,12.0,5.1,7.4,2.7,24.8,5.8,16.4,4.1,23.3,9.3,54.8,11.8,2.2,1.9,9.9,5.2,0.0,1.0,14.1,6.7,9.9,5.6,4.3,1.5,0.9036,0.8554,0.8727,0.8193,3.451,0.9152,0.1566,0.5241,0.8253,0.994,2.5,0.8253,0.7771,0.747,1.5241,0.8072,0.747,0.0,0.8976,0.6606,0.7349,3.0401,0.697,10.5152,0.9085,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,864,328,20.7,7.2,5425
02,ALASKA,AK,02020,Anchorage,02020000801,"Census Tract 8.01, Anchorage Municipality, Alaska",0.982147348602,7163,736,2580,169,2450,195,1303,651,127,89,25384,3110,495,215,698,157,1993,366,1320,296,218,103,5061,864,234,124,335,135,179,87,223,103,258,110,99,60,18.5,8.5,3.6,2.4,25384.0,3110.0,12.0,5.0,9.7,2.0,27.8,4.2,19.0,4.0,8.9,4.2,70.7,9.6,3.6,1.9,13.0,5.2,6.9,3.3,9.1,4.2,10.5,4.7,1.4,0.8,0.8675,0.1566,0.8424,0.8193,2.6858,0.7515,0.3675,0.747,0.9036,0.5241,2.5422,0.8554,0.8494,0.8916,1.741,0.9518,0.7831,0.7818,0.7952,0.6848,0.5422,3.5871,0.9394,10.5561,0.9146,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,810,325,11.7,4.5,3013
02,ALASKA,AK,02050,Bethel,02050000300,"Census Tract 3, Bethel Census Area, Alaska",19064.393359487512,1407,116,742,46,413,48,380,60,163,30,20551,3301,139,41,115,25,476,49,156,34,75,16,1258,126,7,35,0,12,2,3,123,20,268,37,60,33,27.6,3.7,26.5,3.9,20551.0,3301.0,17.0,4.5,8.2,1.7,33.8,2.1,11.1,2.3,18.2,3.3,89.4,5.2,0.6,2.8,0.0,1.7,0.3,0.4,29.8,3.6,64.9,4.2,4.3,2.3,0.9578,0.988,0.9576,0.9458,3.8492,0.9697,0.247,0.9518,0.3855,0.9096,2.4939,0.8193,0.9639,0.4578,1.4217,0.7711,0.0,0.1697,0.9639,0.9636,0.7349,2.8321,0.6182,10.5969,0.9207,1,1,1,1,4,0,1,0,1,2,1,0,1,0,0,1,1,0,2,9,393,67,27.9,3.9,1286
02,ALASKA,AK,02150,Kodiak Island,02150000100,"Census Tract 1, Kodiak Island Borough, Alaska",6576.493354878282,1864,294,1174,106,676,98,297,111,125,56,30949,3782,180,65,246,74,447,124,377,120,78,43,819,339,40,47,36,37,62,33,62,35,127,37,16,28,16.0,5.0,12.2,4.6,30949.0,3782.0,14.1,4.5,13.2,3.9,24.0,5.5,20.4,5.6,11.5,6.2,43.9,16.8,2.3,2.7,3.1,3.1,5.3,2.7,9.2,5.1,18.8,5.3,0.9,1.5,0.7831,0.8313,0.6727,0.9157,3.2028,0.8545,0.7349,0.488,0.9277,0.7349,2.8855,0.9458,0.6024,0.7651,1.3675,0.747,0.5241,0.697,0.8012,0.8182,0.4157,3.2562,0.8545,10.712,0.9268,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,591,194,31.9,7.7,1450
